AQI,Cases
127.85714285714286,2335
146.14285714285714,2821
197.14285714285717,3999
133.28571428571428,6781
117.42857142857143,9092
139.57142857142858,12246
124.0,18564
108.28571428571428,23331
136.42857142857142,16367
79.28571428571429,13050
95.14285714285714,10299
80.85714285714286,7813
85.42857142857143,7071
79.85714285714286,7750
72.42857142857143,7153
72.0,8886
73.71428571428571,11924
77.85714285714286,18059
118.28571428571428,26855
133.42857142857142,28407
121.71428571428572,24403
157.75,19499
